property_type,prices,prop_description,locations,beds_num,baths_num,area
Penthouse,"16,500,000 EGP",بنتهاوس للبيع في الشيخ. ايد,"Casa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,4, 257 sqm
Chalet,"4,250,000 EGP",Piacera chalet 126m fully furnished pool view,"Piacera, Al Ain Al Sokhna, Suez",3,2, 126 sqm
Chalet,"5,150,000 EGP",Blue bay 120m+garden furnished sea and pool view,"Blue Bay Asia, Al Ain Al Sokhna, Suez",2,2, 100 sqm
Apartment,"18,000,000 EGP",Luxury Apartment with Direct Nile View Maadi,"Cornish El Nile St., Maadi, Hay El Maadi, Cairo",3,3, 215 sqm
Chalet,"4,650,000 EGP",Laguna bay 120m+ G furnished sea and pool view,"Laguna Bay, Al Ain Al Sokhna, Suez",2,2, 120 sqm
Chalet,"5,150,000 EGP",Stella di mare chalet 90m + 40m finished golf view,"Stella Di Mare 1, Stella Di Mare, Al Ain Al Sokhna, Suez",2,2, 90 sqm
Villa,"48,000,000 EGP",HOT DEAL MIVIDA VILLA 245m BUA Fully Finished,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,5, 245 sqm
Villa,"57,000,000 EGP",LOWEST PRICE Mivida Villa 391m BUA Prime Location,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4, 391 sqm
Apartment,"14,000,000 EGP",Luxury Finished Apartment for Sale in Madinaty B1,"Privado, Madinaty, Cairo",4,4, 255 sqm
Villa,"51,500,000 EGP",Mivida standalone 420m finished prime location,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 331 sqm
Apartment,"7,267,000 EGP","Ready to Move, Finished apartment , jade park","Jade Park, New Capital Compounds, New Capital City, Cairo",2,1, 176 sqm
iVilla,"17,500,000 EGP",Hot Deal I villa Roof Fully Finished Great price,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 305 sqm
Villa,"58,000,000 EGP",HOT DEAL MIVIDA Villa 356m BUA Fully Finished,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 356 sqm
Villa,"51,500,000 EGP",LOWEST PRICE Mivida Villa 331m BUA Fully Finished,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 331 sqm
Apartment,"13,500,000 EGP",LOWEST PRICE VGK 190m + Garden Fully Finished,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 190 sqm
Apartment,"7,120,000 EGP",A 120 sqm apartment with a 52 sqm garden for sale,"Noor City, Cairo",3,2, 120 sqm
Chalet,"4,208,500 EGP",Lugano chalet 80m lowest down payment sea view,"Lugano Al Galala, Al Ain Al Sokhna, Suez",2,2, 80 sqm
