property_type,prices,prop_description,locations,beds_num,baths_num,area
Villa,"65,000,000 EGP",Villa Finished For Sale Ready to move in Marassi,"Marassi, Sidi Abdel Rahman, North Coast",5,5, 462 sqm
Chalet,"13,800,000 EGP",senior ground first row lagoon ready to move,"Azha, Al Ain Al Sokhna, Suez",3,2, 153 sqm
Apartment,"14,000,000 EGP","Limited Offer, 2 BR Double View For Sale, 0% DP","Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",2,3, 128 sqm
Apartment,"7,894,430 EGP",Prime location Fully Finished Apartment in Sodic East,"Sodic East, 6th District, New Heliopolis, Cairo",2,3, 129 sqm
Apartment,"4,600,000 EGP",Fully finished 130m apartment sale Ganna october,"Jannat October, 6 October Compounds, 6 October City, Giza",3,2, 130 sqm
Apartment,"6,850,000 EGP",شقه للبيع 200م في التجمع الخامس اللوتس الشمالية,"North Lotus, El Lotus, New Cairo City, Cairo",3,2, 200 sqm
Apartment,"14,500,000 EGP",* For Sale Apartment at Courtyard Sodic Zayed City,"The Courtyards, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3, 152 sqm
Apartment,"4,650,000 EGP",apartment for sale190m in Canaria Compound Zayed,"Kanaria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,2, 190 sqm
Twin House,"16,800,000 EGP",Twin house in azha under market price first row,"Azha, Al Ain Al Sokhna, Suez",4,3, 210 sqm
Chalet,"20,000,000 EGP",Chalet for sale Steps from Marina Yacht Club,"Marassi, Sidi Abdel Rahman, North Coast",2,2, 130 sqm
Apartment,"15,000,000 EGP","Limited Offer, 3BR Double View with 0% DP Over 10Y","Vye Sodic, New Zayed City, Sheikh Zayed City, Giza",3,4, 176 sqm
Apartment,"14,000,000 EGP",Apartment fully finished with garden delivered,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 173 sqm
Apartment,"3,800,000 EGP",شقه للبيع في مدينتي70مb11بسعر تجاري لسرعه البيع,"Madinaty, Cairo",2,1, 70 sqm
Apartment,"5,500,000 EGP",شقة للبيع 105م نصف تشطيب بافضل مناطق مدينة نصر,"Al Sahaba Al Keram St., Al Sefarat District, Nasr City, Cairo",3,2, 180 sqm
Apartment,"2,100,000 EGP",استوديو استلام فورى بجراج فى زهراء المعادى,"Rayhanah Avenue, Zahraa El Maadi, Hay El Maadi, Cairo",1,1, 78 sqm
Chalet,"18,000,000 EGP",Chalet for sale at marina 2 with garden Marassi,"Marassi, Sidi Abdel Rahman, North Coast",2,2, 93 sqm
Apartment,"9,500,000 EGP",For Sale – Ground Floor Apartment  Aeon Courtyard,"Aeon, 6 October Compounds, 6 October City, Giza",2,2, 85 sqm
Villa,"15,000,000 EGP",Delivered Standalone north oriented  Golden gates,"Golden Gates, Al Hadaba Al Wosta, Mokattam, Cairo",7,4, 400 sqm
Villa,"46,373,747 EGP",Luxury Standalone Villa in a fully-serviced,"Alex West, Alexandria Compounds, Alexandria", 7+,4, 452 sqm
Apartment,"4,400,000 EGP", For Sale Apartment Mountain View iCity – October ,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",2,2, 125 sqm
Apartment,"90,000,000 EGP","Apartment in Hilton Towers, first row on the Nile,","Hilton Cairo Nile Maadi, Athar El Nabi, Hay Masr El Kadima, Cairo",4,3, 430 sqm
Townhouse,Ask for price,For Sale – Twin House Compound Lavida ,"Lavida Al Bustan, 26th of July Corridor, 6 October City, Giza",7,7, 500 sqm
Townhouse,"13,635,000 EGP",Town House corner Fully Finished Under Market Price,"Gaia, Ras Al Hekma, North Coast",3,3, 175 sqm
Apartment,"3,560,000 EGP",LOWEST PRICE - Apartment delivered in Sarai 122m,"S1, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,3, 122 sqm
Apartment,"7,136,295 EGP",under market price apartment wz garden - taj city,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 131 sqm
Apartment,"6,215,000 EGP",Apartment 2BR Ready to Move in OIA New Capital,"Oia, New Capital Compounds, New Capital City, Cairo",2,2, 125 sqm
Townhouse,"10,577,100 EGP",For Sale Townhouse Immediate Delivery  iCity ,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3, 185 sqm
Chalet,Ask for price,Furnished Chalet for sale Sea view Facing North,"La Vista 6, La Vista, Al Ain Al Sokhna, Suez",2,2, 120 sqm
Apartment,"5,430,000 EGP",Apartment with garden in Lake view residence 2,"Lake View Residence 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 145 sqm
Penthouse,"9,350,000 EGP",Lowest price Penthouse 205m sale Village Gate,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",3,3, 205 sqm
Villa,"60,000,000 EGP",Luxury Villa 5BR | Prime Location | Golf Extension,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",5,6, 850 sqm
Villa,"19,000,000 EGP","villa 212m sarai Monthly Installment: 37,000","Elm Tree Park, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",5,4, 212 sqm
Apartment,"6,680,000 EGP",For Sale Ready to Move Apartment iniCity6October,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3, 180 sqm
Penthouse,"49,823,770 EGP",278m Penthouse in 205 Canal Walk – 5% DP,"205, 26th of July Corridor, Sheikh Zayed City, Giza",3,2, 278 sqm
Apartment,"5,800,000 EGP","Apartment for Sale in Madinaty B15, Garden View","Privado, Madinaty, Cairo",2,2, 100 sqm
Apartment,"6,865,000 EGP",For Sale Ground Floor Apt with Garden | MV iCity,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",3,3, 139 sqm
Villa,"60,000,000 EGP",Luxury Villa 5BR | Prime Location | Golf Extension,"Palm Hills Golf Views, Cairo Alexandria Desert Road, 6 October City, Giza",5,6, 850 sqm
Villa,"60,000,000 EGP",Luxury Villa 5BR | Prime Location | Golf Extension,"Palm Hills October, Cairo Alexandria Desert Road, 6 October City, Giza",5,6, 850 sqm
Twin House,"35,350,000 EGP",twin house lake view fully finished in marina 5,"Marina 5, Marina, Al Alamein, North Coast",4,4, 200 sqm
Apartment,"3,100,000 EGP",Distinctive Apartment Immediate Delivery in Beit,"North Teseen St., The 5th Settlement, New Cairo City, Cairo",3,2, 135 sqm
Apartment,"8,300,000 EGP",Apartment fully finished in maadi prime location,"Maadi, Hay El Maadi, Cairo",3,1, 210 sqm
Townhouse,"15,150,000 EGP",Townhouse Corner in AZZAR 2 prime location,"Azzar 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,5, 225 sqm
Chalet,"9,000,000 EGP",chalet  fully furnished for sale with terrace,"Marina 6, Marina, Al Alamein, North Coast",4,3, 165 sqm
Villa,"60,000,000 EGP",Luxury Villa 5BR | Prime Location | Golf Extension,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",5,5, 850 sqm
Villa,"14,000,000 EGP",under market price prime location Villa life view,"Life View Villas, El Shorouk Compounds, Shorouk City, Cairo",5,5, 309 sqm
Apartment,"3,277,000 EGP",Studio prime location in Taj city - Installments,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1,1, 58 sqm
Apartment,"5,000,000 EGP",Apartment for Sale in Bloom Fields – Prime &amp; Quiet,"Bloomfields, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3, 149 sqm
Villa,"88,000,000 EGP",Signature Villa Fully Finished With Private Pool,"Palm Hills Golf Views, Cairo Alexandria Desert Road, 6 October City, Giza",5,7, 850 sqm
Villa,"55,000,000 EGP",Villa fully finished masr el Gedida salah salem,"Salah Salem St., Roxy, Heliopolis - Masr El Gedida, Cairo",6,4, 450 sqm
Townhouse,"20,500,000 EGP",Finished town corner with big area - installments,"Palm Parks   Palm Hills, South Dahshur Link, 6 October City, Giza",4,5, 375 sqm
Chalet,"11,044,585 EGP",Loft chalet for sale in Kastra -Azha-Special price,"Azha, Al Ain Al Sokhna, Suez",3,2, 139 sqm
Townhouse,"15,895,875 EGP",Town house installments la vista city new capital,"La Vista City, New Capital Compounds, New Capital City, Cairo",4,4, 230 sqm
Apartment,"2,750,000 EGP",Apartment for Sale in the Tourist Area 6 October ,"Touristic Zone 1, Touristic Zone, Al Motamayez District, 6 October City, Giza",2,2, 120 sqm
Apartment,"5,700,000 EGP",APT for sale 169m prime location near madienty,"S1, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2, 169 sqm
Palace,"120,000,000 EGP","One of a kind Palace , 7 Master Bedrooms , 5% DP","Hyde Park, New Cairo City, Cairo", 7+, 7+," 1,000 sqm"
Apartment,"1,273,768 EGP",Elegant Studio with Pool View in La Gouna Resort,"Al Ahyaa District, Hurghada, Red Sea", studio,1, 43 sqm
Villa,"170,000,000 EGP",Unique View First Row Villa in Katameya Dunes,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo", 7+, 7+," 1,025 sqm"
Chalet,"7,980,000 EGP","lagoon first row , 3 minutes only from the sea","Marina 8, Marina, Al Alamein, North Coast",2,2, 150 sqm
Apartment,"8,815,000 EGP",Apartment 207 in Prime Location,"Capital Gardens   Palm Hills, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,4, 207 sqm
Chalet,"13,397,000 EGP",Chalet fully Finished in Marsa Bagoush installment,"Marsa Baghush, Qesm Marsa Matrouh, North Coast",3,3, 170 sqm
Apartment,"9,300,000 EGP",ارضي بحديقه خاصه 155+65م للبيع بالرحاب سعر مميز جد,"Rehab City Fifth Phase, Al Rehab, New Cairo City, Cairo",3,3, 155 sqm
Apartment,"5,000,000 EGP",Apartment  Ready to move at the best market price,"S2, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3, 170 sqm
Apartment,"4,600,000 EGP",شقه للبيع 185م في الهضبة العليا شارع كريم بنونة,"Al Hadaba Al Olya, Mokattam, Cairo",3,2, 185 sqm
Chalet,"11,000,000 EGP",loft pool view in kastra prime location,"Azha, Al Ain Al Sokhna, Suez",3,3, 139 sqm
Apartment,"4,500,000 EGP",Apartment in  Mostakbal city - Garden view,"L'avenir, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2, 160 sqm
Apartment,"4,370,000 EGP",الأولي العقارية(كومبند اوري)شقة115م10%مقدم وبتقسيط,"Rivers, New Zayed City, Sheikh Zayed City, Giza",2,2, 115 sqm
Apartment,"14,200,000 EGP",Apartment with garden for sale in SODIC Villette,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 155 sqm
Chalet,"10,830,000 EGP",Chalet with installment For Sale Marassi Emaar,"Marassi, Sidi Abdel Rahman, North Coast",1,1, 66 sqm
Apartment,"10,500,000 EGP",apartment fully finished ready to move in la vista,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2, 164 sqm
Apartment,"4,650,000 EGP",Hot flat old price Lagoon phase second floor ver,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 20 sqm
Villa,"50,000,000 EGP",A detached villa in the Saada compound in the hear,"Saada Compound, New Cairo City, Cairo",4,4, 512 sqm
Apartment,"4,650,000 EGP",Hot flat old price Lagoon phase second floor ver,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 20 sqm
Chalet,"10,000,000 EGP",ground chalet fully finished ready to move in azha,"Azha, Al Ain Al Sokhna, Suez",2,2, 110 sqm
Twin House,"36,500,000 EGP",RTM Twinhouse for sale prime location at mivida,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,3, 355 sqm
Apartment,"1,600,000 EGP",للبيع شقة العرسان 96م بشارع مرصوف بحدائق الأهرام,"Gate 4 - Mena, Hadayek El Ahram, Giza",2,2, 96 sqm
Townhouse,"15,500,000 EGP",Palm Hills New Cairo Corner Townhouse Deal,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 226 sqm
Apartment,"14,000,000 EGP",Lowest price apartment-Land scape view -Eastown,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 191 sqm
Apartment,"8,500,000 EGP",شقه للبيع 200م في اسكان الجامعه الامريكية,"American University Housing District, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,2, 200 sqm
Apartment,"4,700,000 EGP",Apartment ready to move best market price - Stone,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 140 sqm
Palace,"120,000,000 EGP","One of a kind Palace , 7 Master Bedrooms , 5% DP","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo", 7+, 7+," 1,000 sqm"
Duplex,"38,602,590 EGP",Duplex 233m in 205 Canal Walk – 5% DP,"205, 26th of July Corridor, Sheikh Zayed City, Giza",3,2, 233 sqm
Villa,"47,000,000 EGP","Type B villa, super deluxe finishing","Dyar Compound, 90 Street, The 5th Settlement, New Cairo City, Cairo",2,3, 662 sqm
Chalet,"16,500,000 EGP",Chalet with garden fully finished in la vista bay,"La Vista Bay, La Vista, Qesm Ad Dabaah, North Coast",3,2, 150 sqm
Villa,"30,000,000 EGP",A fully finished detached villa in Maxim,"Maxim, The 1st Settlement, New Cairo City, Cairo",4,4, 480 sqm
Apartment,"4,950,000 EGP","Apartment for sale, 170 sq m, Sidi Bishr Bahri","Al Tofola Al Saaeda St., Sidi Beshr, Hay Awal El Montazah, Alexandria",3,2, 170 sqm
Apartment,"10,500,000 EGP",شقة للبيع في السرايا على البحر مباشر180م دور11 بحر,"Saraya, Sidi Beshr, Hay Awal El Montazah, Alexandria",3,2, 180 sqm
Apartment,"4,650,000 EGP",Hot flat old price Lagoon phase second floor ver,"Club Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 20 sqm
Apartment,"4,650,000 EGP",Hot flat old price Lagoon phase second floor ver,"Club Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 20 sqm
Palace,"120,000,000 EGP","One of a kind Palace , 7 Master Bedrooms , 5% DP","District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo", 7+, 7+," 1,000 sqm"
Townhouse,"21,200,000 EGP",under market price Townhouse RTM at hyde park,"Hyde Park, New Cairo City, Cairo",3,3, 234 sqm
Apartment,"5,431,000 EGP",Apartment 3bed in Qamari New Capita Over12Y,"Qamary, R8, New Capital City, Cairo",3,3, 157 sqm
Apartment,"5,500,000 EGP",Very special ground floor apartment,"Al Khamayel city, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,2, 145 sqm
Apartment,"4,900,000 EGP",Fully Finished Apartment with Prime Offer –,"Rock White, 9th District, New Heliopolis, Cairo",3,2, 141 sqm
Apartment,"10,000,000 EGP",شقه للبيع 245م في القرنفل التجمع الاول,"El Koronfel, The 5th Settlement, New Cairo City, Cairo",3,3, 245 sqm
Apartment,"5,750,000 EGP",Apartment for Sale in First Settlement - Banafsaj,"El Banafseg Apartment Buildings, El Banafseg, New Cairo City, Cairo",3,3, 260 sqm
Apartment,"8,500,000 EGP","Apartment for sale in Al Narjis, second building f","Al Narges 2, Al Narges, New Cairo City, Cairo",3,2, 220 sqm
Chalet,"7,500,000 EGP",ground floor chalet facing north 7.5 M cash,"Azha, Al Ain Al Sokhna, Suez",2,3, 116 sqm
Palace,"120,000,000 EGP","One of a kind Palace , 7 Master Bedrooms , 5% DP","City Gate, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo", 7+, 7+," 1,000 sqm"
Villa,"26,000,001 EGP",Standalone apartment with immediate finishing and,"Sodic East, 6th District, New Heliopolis, Cairo",5,5, 285 sqm
Apartment,"2,841,000 EGP",شقه للبع في مدينتي74مb12استلبام فوري حجز قديم,"Madinaty, Cairo",2,1, 74 sqm
Apartment,"6,500,000 EGP","Apartment for sale, 200 sq m, Camp Caesar","Camp Chezar, Hay Wasat, Alexandria",4,3, 200 sqm
Apartment,"5,500,000 EGP",Prime Location Apartment with Garden l iCity,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3, 140 sqm
Apartment,"7,500,000 EGP",شقة للبيع 200م هاى سوبر لوكس ف سمير موسى مدينه نصر,"Samir Morsy St., 6th Zone, Nasr City, Cairo",3,2, 200 sqm
Apartment,"6,249,249 EGP",Sarai  Elan Apt 156 meter prime location dp 2.5M,"Elan Sarai, Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,2, 156 sqm
Apartment,"3,224,200 EGP",Studio  60m in Taj City - Lake Park Lake View ,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo", studio,1, 60 sqm
Apartment,"2,000,000 EGP",للبيع شقة 142م استلام 6 شهور بمقدم 50% فقط,"District 300, Northern Expansions, 6 October City, Giza",3,3, 142 sqm
Twin House,Ask for price,Twin house Special design 2nd row golf for sale,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",5,6, 360 sqm
Villa,"25,900,000 EGP","Townhouse , High Ceiling , Wide Landscape , 5% DP","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5, 253 sqm
Villa,"26,000,000 EGP","Standalone, fully finished, with elevator, for sal","Sodic East, 6th District, New Heliopolis, Cairo",5,5, 285 sqm
Villa,Ask for price,Ultra Super Lux Villa For Sale First Row Golf View,"Katameya Dunes, El Katameya Compounds, El Katameya, New Cairo City, Cairo",6,6," 1,399 sqm"
Villa,"25,900,000 EGP","Townhouse , High Ceiling , Wide Landscape , 5% DP","District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5, 253 sqm
Chalet,"9,510,000 EGP","lagoon first row , 3 minutes only from the sea","Marina 8, Marina, Al Alamein, North Coast",3,3, 185 sqm
Villa,"50,000,000 EGP",5Beds Villa With Prime Location In Golf Extension,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",5,5, 500 sqm
Apartment,"5,910,000 EGP",Apt+garden with 900k DP near AUC INTHE ICON,"The Icon Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2, 162 sqm
Duplex,"11,000,000 EGP",Ready to Move Duplex with Garden – Villette,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 291 sqm
Apartment,"7,476,000 EGP",3BEDROOMS in CANYON8 10%D+dis 15% + over 10Y,"Canyon 8, R8, New Capital City, Cairo",3,3, 149 sqm
Land,"17,000,000 EGP",ارض للبيع _ ناصية ممر  _ علي فاصل 32م,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",4,5, 600 sqm
Land,"19,000,000 EGP",ارض للبيع _ وجهه قبلى  _ عامودي على محور بن زايد ,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,2, 600 sqm
Land,"13,000,000 EGP",وجهه علي فاصل,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,1, 600 sqm
Land,"11,000,000 EGP",علي حديقة الحي التامن بحري خطوات للمحور تجمع خامس ,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3, 670 sqm
Land,"13,000,000 EGP",ارض للبيع _ ناصية ممر _ علي فاصل  _وميدان,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3, 464 sqm
Villa,"28,000,000 EGP",استاندالون لقطه 456م للبيع بالفورسيزون مدينتي,"Privado, Madinaty, Cairo",3,3, 305 sqm
Apartment,"3,500,000 EGP",شقه للبيع نصف تشطيب بكمبوند كايرو تاورز بالواحه,"Street 5, Al Waha City, 10th District, Nasr City, Cairo",3,2, 173 sqm
Apartment,"4,300,000 EGP","Apartment for Sale – 137 sqm, Zizinia","Zezenia, Hay Sharq, Alexandria",2,2, 137 sqm
Penthouse,"14,156,036 EGP",Penthouse for Sale in Fifth Settlement - Midtown,"Midtown, South Investors Area, New Cairo City, Cairo",4,5, 365 sqm
Apartment,"5,146,000 EGP",بمقدم 15% على 8 سنوات شقة 170م بكمبوند جرين سيتي,"Italian Neighborhood Road, Hadayek October, 6 October City, Giza",3,3, 170 sqm
Apartment,"5,000,000 EGP",Apartment for Sale in Lavenir Compound,"L'avenir, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3,3, 160 sqm
Apartment,"11,000,000 EGP",Lowest Down Payment Own Apartment Over 10 Years,"El Patio Vida, The 6th Settlement, New Cairo City, Cairo",6,6, 158 sqm
Apartment,"6,500,000 EGP",Apartment for sale at ZED compound Sheikh Zayed ,"Village Views, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4,3, 105 sqm
Villa,"25,000,000 EGP",Own Your Villa In Sixth Settlement Over 10 Years .,"Hyde Park, New Cairo City, Cairo",3,2, 365 sqm
Apartment,"11,500,000 EGP",141M apartment in New Zayed Dejoya installment,"DeJoya Residence, New Zayed City, Sheikh Zayed City, Giza",3,4, 141 sqm
Apartment,"13,000,000 EGP",Apartment for sale with an open view in Hyde Park,"Hyde Park, New Cairo City, Cairo",2,1, 156 sqm
Land,"11,000,000 EGP",علي حديقة الحي التامن بحري خطوات للمحور تجمع خامس ,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",4,5, 670 sqm
Land,"13,000,000 EGP",ارض للبيع _ ناصية ممر _ علي فاصل  _وميدان,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,2, 464 sqm
Villa,"28,000,000 EGP",استاندالون لقطه 456م للبيع بالفورسيزون مدينتي,"Privado, Madinaty, Cairo",3,1, 305 sqm
Apartment,"3,500,000 EGP",شقه للبيع نصف تشطيب بكمبوند كايرو تاورز بالواحه,"Street 5, Al Waha City, 10th District, Nasr City, Cairo",3,3, 173 sqm
Apartment,"4,300,000 EGP","Apartment for Sale – 137 sqm, Zizinia","Zezenia, Hay Sharq, Alexandria",3,3, 137 sqm
Penthouse,"14,156,036 EGP",Penthouse for Sale in Fifth Settlement - Midtown,"Midtown, South Investors Area, New Cairo City, Cairo",3,3, 365 sqm
Apartment,"5,146,000 EGP",بمقدم 15% على 8 سنوات شقة 170م بكمبوند جرين سيتي,"Italian Neighborhood Road, Hadayek October, 6 October City, Giza",3,2, 170 sqm
Apartment,"5,000,000 EGP",Apartment for Sale in Lavenir Compound,"L'avenir, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",2,2, 160 sqm
Apartment,"11,000,000 EGP",Lowest Down Payment Own Apartment Over 10 Years,"El Patio Vida, The 6th Settlement, New Cairo City, Cairo",4,5, 158 sqm
Apartment,"6,500,000 EGP",Apartment for sale at ZED compound Sheikh Zayed ,"Village Views, Zed Towers, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3,3, 105 sqm
Villa,"25,000,000 EGP",Own Your Villa In Sixth Settlement Over 10 Years .,"Hyde Park, New Cairo City, Cairo",3,3, 365 sqm
Apartment,"11,500,000 EGP",141M apartment in New Zayed Dejoya installment,"DeJoya Residence, New Zayed City, Sheikh Zayed City, Giza",6,6, 141 sqm
Apartment,"13,000,000 EGP",Apartment for sale with an open view in Hyde Park,"Hyde Park, New Cairo City, Cairo",4,3, 156 sqm
Villa,"166,250,000 EGP",Villa For Sale Lake View View Landscape &amp; Lake,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2, 800 sqm
Apartment,"13,500,000 EGP",PRIME LOCATION ON THE POOL APT 274M IN MVHP,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,4, 274 sqm
Apartment,"1,950,000 EGP",للبيع  شقه 120م الدور الرابع  خلفي حانبى مميزه جدا,"Gate 4 - Mena, Hadayek El Ahram, Giza",2,1, 120 sqm
Townhouse,"23,500,000 EGP",townhouse corner for sale in PK2,"Palm Hills Katameya Extension, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,6, 270 sqm
Apartment,"3,800,000 EGP",للبيع شقه لقطه ممتاز جدا في مدينتى B7,"Madinaty, Cairo",1,2, 70 sqm
Villa,"29,000,000 EGP","Corner Townhouse , High Ceiling , Landscape ,5% DP","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5,4, 270 sqm
Apartment,"6,000,000 EGP",Apartment with Panoramic Open Views by Palm Hills ,"Badya Palm Hills, 6 October Compounds, 6 October City, Giza",6,7, 77 sqm
Villa,"26,400,000 EGP",Own Your Villa In Sixth Settlement Over 10 Years .,"Hyde Park, New Cairo City, Cairo",4,4, 340 sqm
Villa,"45,300,000 EGP",Standalone for sale phnc View landscape,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3, 772 sqm
Villa,"21,000,000 EGP","Villa With Garden,Facing North,Third Row Sand lake","Marina 4, Marina, Al Alamein, North Coast",2,2, 280 sqm
Apartment,"10,120,000 EGP",Unit For Sale First Launch 5% DP Fully Finished,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 126 sqm
Land,"12,000,000 EGP",ارض للبيع_وجهه بحري_خطوات للمحور_ الحى الخامس_,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,4, 670 sqm
Land,"11,000,000 EGP",ناصية علي جنينه الاوركيد بيت الوطن التجمع الخامس,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,4, 500 sqm
Penthouse,"13,423,000 EGP",Unit For Sale First Launch 5% DP Fully Finished,"Sodic East, 6th District, New Heliopolis, Cairo",4,4, 185 sqm
Land,"20,500,000 EGP","ارض للبيع_ناصيه ,2 نمره من النادي_ الحى الرابع","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",4,5, 600 sqm
Penthouse,"13,821,000 EGP",Unit For Sale First Launch 5% DP Fully Finished,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,2, 195 sqm
Land,"15,500,000 EGP",ارض للبيع_وجهه بحري_الحى الاول_ بيت الوطن_التجمع,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,4, 800 sqm
Townhouse,"23,213,000 EGP",Unit For Sale First Launch 5% DP Fully Finished,"Sodic East, 6th District, New Heliopolis, Cairo",3,4, 240 sqm
Land,"22,500,000 EGP","ارض للبيع_ناصيه ,خطوات للنوادي_الحى التاني_","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",2,2, 800 sqm
Villa,"24,120,000 EGP",Unit For Sale First Launch 5% DP Fully Finished,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,4, 245 sqm
Land,"12,000,000 EGP",ارض للبيع _وجهه على فاصل  _ رئيسي,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3, 450 sqm
Chalet,"8,120,000 EGP",Unit For Sale Sea View Fully Finished Over 8 Years,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",3,3, 125 sqm
Townhouse,"20,000,000 EGP",Own Your Villa In Sixth Settlement Over 10 Years .,"Hyde Park, New Cairo City, Cairo",4,5, 220 sqm
Twin House,"17,821,000 EGP",Unit For Sale Sea View Fully Finished Over 8 Years,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",4,5, 210 sqm
Chalet,"13,100,000 EGP","SEA VIEW VIP Chalet, immediate delivery, fully fin","Mazarine, New Alamein City, Al Alamein, North Coast",2,2, 128 sqm
Villa,"23,212,000 EGP",Unit For Sale Sea View Fully Finished Over 8 Years,"Makadi Heights, Makadi Orascom Resort, Makadi, Hurghada, Red Sea",4,4, 250 sqm
Apartment,"13,210,000 EGP",For Sale Unit  Over 10 Yrs Nearest Delivery 5% DP,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4,5, 176 sqm
